Region,Council,Swim site,Date,Time,Enterococci (cfu/100mL),Water temperature (°C),Conductivity (µS/cm),Latitude,Longitude
Sydney City,Randwick City Council,Malabar Beach,03/10/2023,09:41:00,1,19,52000,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,03/10/2023,09:24:00,1,19,51900,-33.953515000,151.258009000
Sydney City,Randwick City Council,Little Bay Beach,03/10/2023,09:59:00,44,20,52600,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,03/10/2023,07:27:00,1,18,51000,-33.891157000,151.278267000
Sydney City,Randwick City Council,Little Bay Beach,27/09/2023,09:10:00,0,19,,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,27/09/2023,07:10:00,4,18,,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Rockpool,27/09/2023,08:32:00,2,19,,-33.953515000,151.258009000
Sydney City,Randwick City Council,Malabar Beach,27/09/2023,08:55:00,11,19,,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Beach,27/09/2023,08:30:00,0,19,,-33.951378000,151.257322000
Sydney City,Randwick City Council,Coogee Beach,27/09/2023,08:07:00,4,18,,-33.920760000,151.258170000
Sydney City,Randwick City Council,Clovelly Beach,27/09/2023,07:49:00,1,18,,-33.914578000,151.267659000
Sydney City,Waverley Council,Tamarama Beach,27/09/2023,07:25:00,3,18,,-33.900805000,151.270734000
Sydney City,Randwick City Council,Gordons Bay (East),27/09/2023,07:56:00,1,18,,-33.915646000,151.264558000
Sydney City,Randwick City Council,Maroubra Beach,27/09/2023,08:23:00,3,18,,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,27/09/2023,07:36:00,0,18,,-33.903087000,151.268790000
Sydney City,Waverley Council,Bronte Beach,21/09/2023,08:19:00,4,17,54200,-33.903087000,151.268790000
Sydney City,Randwick City Council,Maroubra Beach,21/09/2023,09:13:00,2,18,54200,-33.948896000,151.257459000
Sydney City,Waverley Council,Tamarama Beach,21/09/2023,08:04:00,1,17,53900,-33.900805000,151.270734000
Sydney City,Randwick City Council,Gordons Bay (East),21/09/2023,08:40:00,1,17,54000,-33.915646000,151.264558000
Sydney City,Randwick City Council,Clovelly Beach,21/09/2023,08:32:00,1,17,53700,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,21/09/2023,08:55:00,3,18,54100,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,21/09/2023,09:20:00,4,18,54200,-33.951378000,151.257322000
Sydney City,Randwick City Council,Malabar Beach,21/09/2023,09:46:00,2,18,54200,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,21/09/2023,09:24:00,1,18,54100,-33.953515000,151.258009000
Sydney City,Waverley Council,Bondi Beach,21/09/2023,07:41:00,3,17,53400,-33.891157000,151.278267000
Sydney City,Randwick City Council,Little Bay Beach,21/09/2023,10:01:00,3,19,54000,-33.979882000,151.251417000
Sydney City,Randwick City Council,Little Bay Beach,15/09/2023,09:52:00,3,18,50900,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,15/09/2023,07:30:00,3,16,49700,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Rockpool,15/09/2023,09:18:00,0,18,51800,-33.953515000,151.258009000
Sydney City,Randwick City Council,Malabar Beach,15/09/2023,09:38:00,0,18,51500,-33.964360000,151.252247000
